,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Temperature overshoot 2105
0,257,2,13632.828031708917,4,2,1,1,1,0.3713448845123309,2477.375193941546,0.26619616818715286,372.6198936204345,7.0
1,257,2,6821.356959938641,2,0,0,1,0,0.38340095416987346,2479.8240155644344,0.3072192248997478,372.6198936204345,7.0
2,257,2,5484.374077152356,1,1,1,0,0,0.4756288356791636,2477.074598094626,0.0,0.0,7.0
3,857,2,5043.35124747188,0,1,1,2,0,0.4693304158468645,2483.386893897403,1.3799523876030837,749.7645065432494,7.0
