,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Lowest income per capita 2105,Disutility 2105,Highest damage per capita 2105,Temperature overshoot 2105
0,0.15904095851201253,2065.0000000029922,0.008025040556042128,0.005057748127854512,11114.9785892943,6.693393400065018,21.69985542231595,0.04268801651978841,6.0
1,0.24284913304640376,2065.000005307026,0.010271624929836198,0.011657519929614212,11175.172588475902,6.784889138249835,23.999888074836004,0.047449882081301444,6.0
2,0.17973016819342003,2065.000000083729,0.0048707362519325465,0.0030685834832019547,11141.080855248521,6.73732917622222,22.299499012843793,0.04380751512003204,6.0
3,0.15550602879005035,2065.000006888516,0.006408635110676609,0.006287466026969331,11109.664244381489,6.684327350697927,21.59496671425747,0.04249993874565076,6.0
4,0.1460241627734034,2065.000000000005,0.0029807466986262114,0.00785619599629974,11094.091114416713,6.657655307584913,21.309866120175354,0.041999788797710366,6.0
5,0.2086207806675771,2065.0000000260416,0.002873726448485541,0.002962893550047213,11164.545818534141,6.774320637942463,23.099890017264965,0.045429085433137666,6.0
6,0.139159932790012,2065.000000000016,0.005124426665500052,0.009932098464771902,11081.565981412261,6.636144397376117,21.099923244399132,0.0416415224004664,6.0
7,0.10783709239448819,2065.0000002399356,0.008012647495808732,0.00671663707311837,11009.46727231588,6.512723124947735,20.099921485589068,0.04004357165329152,6.0
8,0.13592718518883473,2065.0000000409027,0.007327454077806259,0.0029179420974341196,11075.286905089968,6.625354345872116,20.99997371383098,0.04147386143757542,6.0
9,0.12635604831858077,2065.0000000169352,0.001310958520222506,0.0012253242786823349,11055.20108287128,6.590857424656991,20.699841147544344,0.040981319094352764,6.0
10,0.11086912916257888,2065.000000006002,0.010488040277012847,0.004428903961329152,11017.616844370623,6.526586783160611,20.199979831127486,0.0401958069308223,6.0
11,0.18322049880735714,2065.000000009746,0.01208027767273519,0.00837742881961236,11144.68552191844,6.743260061853738,22.398383157553383,0.04399967598600943,6.0
12,0.16585352034009163,2065.000000000006,0.008271047273716607,0.008463835616262086,11124.497860920372,6.70955795308426,21.89994197099607,0.04305305533016718,6.0
13,0.11689516186533494,2065.0000000000014,0.009024152364351518,0.009448959947428972,11033.025004822097,6.552875328582894,20.396659638739685,0.04049984174319637,6.0
14,0.1069673649474569,2065.000000000027,0.008315447288094198,0.012507717947625584,11007.079202801786,6.50866639972538,20.071081197462277,0.039999992823911854,6.0
15,0.16928935769580097,2065.000000000076,0.006600009427775449,0.005946734504134042,11128.94764515656,6.717069367547258,21.999852253748152,0.043238472675265316,6.0
16,0.11391606836420651,2065.000000000007,0.006288778130845715,0.0010083460721574313,11025.53665016943,6.54008719526144,20.29978444629191,0.04034928692407746,6.0
17,0.1327154025899615,2065.000000000024,0.004887711543335102,0.012726458166403727,11068.799826074073,6.614207649766363,20.899970543449072,0.041307946343939785,6.0
18,0.12671786535150265,2065.000000000006,0.012226027690890626,0.00714484919619008,11056.002290073082,6.592232228710878,20.711304776727108,0.040999836701592886,6.0
19,0.22360270519159436,2065.0,0.0038840705394851535,0.005935347923331988,11171.351455977225,6.783168900259075,23.499811381464063,0.0462994639872242,6.0
20,0.19399998453647108,2065.000000000008,0.0036287940149264336,0.0010913589591196712,11154.450612009497,6.75899549021218,22.699883352771113,0.04459949516897132,6.0
21,0.17273443599684066,2065.0,0.008728718697987735,0.00429557033772684,11133.179198534901,6.72417731698692,22.099374783092596,0.043425293969585214,6.0
22,0.14569215242960018,2065.0,0.0037518077386841583,0.0025251338378120287,11093.510006979071,6.656658039665103,21.299781581050986,0.04198238787432509,6.0
23,0.10184623764809474,2065.0,0.00961968272148931,0.014564831283964148,10992.550299991512,6.484044802326092,19.899980031565537,0.03974418041322818,6.0
24,0.15232611612113603,2065.0,0.008300670982571893,0.005883940990676384,11104.65861771721,6.675768258913266,21.499969415245527,0.04233150663582152,6.0
25,0.12321525053490658,2065.0,0.003935896622369865,0.01006971322322974,11048.10333305663,6.578685034582864,20.599929775621007,0.04082090198894249,6.0
26,0.19039738935244932,2065.0,0.0017745952364428474,0.003819263248384528,11151.412778478121,6.754164776487267,22.599761304236665,0.044397945211061954,6.0
27,0.1740832450566306,2065.0,0.001046754425489885,0.0034619859506328527,11134.774105873865,6.726845892047443,22.138163313465956,0.043498688095174216,6.0
28,0.2098527902183318,2065.0,0.004539280436737668,0.0038493918904071475,11165.23756227112,6.775305373991289,23.13314741976855,0.04549986643862437,6.0
29,0.19762089253376405,2065.0,0.012344095331955574,0.0010501939408524875,11157.2808535749,6.763425124826037,22.799881265122774,0.0448031916694614,6.0
30,0.20109832954675827,2065.0,0.012953332745196593,0.003769167224988903,11159.792008260338,6.767282670319099,22.89533046380521,0.04499989298969967,6.0
31,0.1922224642727819,2065.0,0.008263389685593328,0.0055789893449147195,11152.979649305382,6.7566651527568675,22.650562401316858,0.044499912389033724,6.0
32,0.21607044219031019,2065.0,0.011136164726495704,0.008325325134422853,11168.363696589895,6.779566146906492,23.299963584575828,0.04585922588115372,6.0
33,0.22699433798297478,2065.0,0.008818068208149264,0.00634529314654571,11172.417274149378,6.784243914027183,23.589019903576148,0.04649948946086504,6.0
34,0.14900053386943093,2065.0,0.005223351856872218,0.002290591487586377,11099.190813085092,6.666402296132065,21.399959484417682,0.042156116888371974,6.0
35,0.17623096852902675,2065.0,0.012251271643420983,0.0046109320668311846,11137.242816965309,6.73096353124697,22.199724607776957,0.043615848341377814,6.0
36,0.20493071731679718,2065.0,0.008209595219206545,0.0034408278532929806,11162.328550228547,6.771089663794283,22.999869093751194,0.0452179128994335,6.0
37,0.2350875427414827,2065.0,0.008622289801786752,0.0020758359371704747,11174.27594169847,6.785464079523555,23.799994756555975,0.04698141758359559,6.0
38,0.23123242612303802,2065.0,0.013467743033005854,0.004577848872957882,11173.509805235135,6.7851173835708325,23.699828494709912,0.04675103504318865,6.0
39,0.16486652863097567,2065.0,0.011368381331632984,0.003448994376597584,11123.176563837658,6.707321355948285,21.871118652105846,0.042999956170512256,6.0
40,0.10483063817193355,2065.0,0.014173056253320779,0.012709869417447698,11001.11520164617,6.498546887200512,19.99996024370009,0.03989309583309765,6.0
41,0.14241926592130782,2065.0,0.00877250708702677,0.0020302231004622247,11087.648136422818,6.6465934399070195,21.199992070123805,0.041811248713619555,6.0
