,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
0,250,0,10536.122523261452,4,11237.981207592924,26.93777970580851,0.28400015424429653,0.6016733581343228,0.0
1,351,0,9588.666000573387,5,11275.741752049675,7.19449777184688,0.2831800215034243,0.6596044250256349,0.0
2,245,2,11754.874342900763,5,11206.766333315085,26.976867913434713,0.2845346429620562,0.5800785652629628,4.0
3,795,1,8515.090051090563,3,11262.621678474448,14.043612999602848,0.28349701416834594,0.6303537732678263,0.0
4,558,0,5127.6138735434415,0,11284.075967922408,10.64956778006334,0.282940691541676,0.6995866305973768,0.0
5,45,2,6679.271195416413,2,11248.447950208323,30.56186359221718,0.2837978900073217,0.6121476479909845,0.0
6,250,2,5494.315454794452,4,11207.947194507442,41.85007805360029,0.2845158863237072,0.5807267236848547,4.0
7,443,1,8982.075937646036,5,11280.807356620317,33.41456219300762,0.28345054502296047,0.611818890499387,0.0
8,645,1,6469.6898217421995,0,11223.301434110173,37.29516390741069,0.28426237072757077,0.5902211921720848,0.0
9,657,1,11727.472039509723,0,11257.393484113942,31.549697478980868,0.28361217062693167,0.6229879655803222,0.0
10,964,1,5457.026133853615,4,11206.949604667325,41.840579732939666,0.28453173823721933,0.5801784774191233,4.0
11,601,0,9029.41324467048,5,11090.278204383369,57.755924865514665,0.2861300808672729,0.5501009663827124,7.0
12,168,0,11067.174468906174,4,11276.636332903983,14.713083629682275,0.28315663240474537,0.6622389318810921,0.0
13,67,1,9523.195018281405,1,11241.648571444774,38.962475211954235,0.2840659609300719,0.5905538724364467,0.0
14,616,1,10278.729019099657,4,11297.579625501181,13.849856769338663,0.2828836486625962,0.6732136592123469,0.0
15,2,0,11133.872642857414,5,11268.681894007872,26.201127824074852,0.2833561341110212,0.6415626929811843,0.0
16,808,0,12549.38134733991,2,11278.041971110806,31.627889484752124,0.28339682785324566,0.6218698731789651,0.0
17,337,2,12430.49901724713,0,11317.912675752346,17.208286423508632,0.2824801406420619,0.8477395438298766,0.0
18,197,2,7703.382654885884,0,11153.43036594394,50.37842805936118,0.2853093433151675,0.5603046366038982,6.0
19,204,2,8781.991377405397,1,11152.683211588035,50.035948058600624,0.28531938611858776,0.5601004680669945,6.0
20,20,0,12434.030184965763,5,11287.36452505572,17.12879364749422,0.28279045307828554,0.8476570662901101,0.0
21,570,2,10926.066785376357,2,11296.425474786825,25.738680844980262,0.2829623908705838,0.6586622098528253,0.0
22,59,0,10574.846957609892,4,11225.269256765023,42.30908457664531,0.28433636338528956,0.5803932854708962,4.0
23,680,0,10530.446675299834,1,11251.077982521485,33.20513054449807,0.28374464882130007,0.6151331790727111,0.0
24,484,2,12535.844683265994,4,11185.599216681045,45.66607797180155,0.28485603548790406,0.5700009626596584,5.0
25,12,0,12440.15957220909,4,11238.594135911244,36.1878835037217,0.28398869658521514,0.6022156610747625,0.0
26,489,2,13051.029423907608,2,11227.76567477945,38.45979384478501,0.28418496020025324,0.5934208346688589,0.0
27,568,0,7016.992642847837,2,11288.330193906711,31.858339389589524,0.2832941620165787,0.6210007048472187,0.0
28,857,2,13450.100857626543,2,11018.551932525115,67.74277496175444,0.28696925929634065,0.5416288830006818,7.0
29,578,2,13198.70124003752,2,11264.175355466215,29.680152731908176,0.28346169894631645,0.6327148132214205,0.0
30,482,0,11342.373904396292,5,11223.162660828388,35.71825408859434,0.28426478761630175,0.5901277750546525,0.0
31,21,0,9488.018946426611,1,11295.852292667532,24.92945111465679,0.28293066938323286,0.6671622177337599,0.0
32,520,2,8948.168536177785,1,11305.635762755768,25.780839643126004,0.28289015842251036,0.6537095782419369,0.0
33,203,1,12784.001342453414,5,11170.532116401891,50.56389488796111,0.2851310318169273,0.5600432836817423,6.0
34,21,0,11648.929091348155,5,11278.134839208627,24.770957589947546,0.283116843275917,0.6670943607474497,0.0
35,161,1,13567.294140545491,4,11289.334075214629,27.326123151881315,0.2830987379850359,0.6484059558486457,0.0
