,emdd,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index
755,0.595866888033179,4897.2121774090965,1.0,0.0,1.0,1.0,2.0,2.0,546.0
2131,0.2342014459342694,13399.221222228958,0.0,1.0,0.0,5.0,2.0,2.0,968.0
2322,0.1881017000551811,4946.325499652978,0.0,0.0,0.0,0.0,0.0,0.0,276.0
4141,0.0014342067505334,12725.934517177951,1.0,2.0,1.0,2.0,0.0,1.0,540.0
