,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Lowest income per capita 2105,Temperature overshoot 2105
0,927,2,8632.801448822776,2,2,1,2,1,0.42931599397936204,11004.22078285222,2.586691677228515,7.0
1,257,2,7487.1446011608605,2,1,1,0,1,0.3654717096786126,10979.839950550222,6.32820396190359,7.0
