,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
0,250,0,10536.122523261452,4,11237.981207592924,26.93777970580851,0.28400015424429653,0.6016733581343228,0.0
1,351,0,9588.666000573387,5,11275.741752049675,7.19449777184688,0.2831800215034243,0.6596044250256349,0.0
2,795,1,8515.090051090563,3,11262.621678474448,14.043612999602848,0.28349701416834594,0.6303537732678263,0.0
3,558,0,5127.6138735434415,0,11284.075967922408,10.64956778006334,0.282940691541676,0.6995866305973768,0.0
4,645,1,6469.6898217421995,0,11223.301434110173,37.29516390741069,0.28426237072757077,0.5902211921720848,0.0
5,657,1,11727.472039509723,0,11257.393484113942,31.549697478980868,0.28361217062693167,0.6229879655803222,0.0
6,601,0,9029.41324467048,5,11090.278204383369,57.755924865514665,0.2861300808672729,0.5501009663827124,7.0
7,168,0,11067.174468906174,4,11276.636332903983,14.713083629682275,0.28315663240474537,0.6622389318810921,0.0
8,616,1,10278.729019099657,4,11297.579625501181,13.849856769338663,0.2828836486625962,0.6732136592123469,0.0
9,2,0,11133.872642857414,5,11268.681894007872,26.201127824074852,0.2833561341110212,0.6415626929811843,0.0
10,808,0,12549.38134733991,2,11278.041971110806,31.627889484752124,0.28339682785324566,0.6218698731789651,0.0
11,197,2,7703.382654885884,0,11153.43036594394,50.37842805936118,0.2853093433151675,0.5603046366038982,6.0
12,204,2,8781.991377405397,1,11152.683211588035,50.035948058600624,0.28531938611858776,0.5601004680669945,6.0
13,484,2,12535.844683265994,4,11185.599216681045,45.66607797180155,0.28485603548790406,0.5700009626596584,5.0
14,568,0,7016.992642847837,2,11288.330193906711,31.858339389589524,0.2832941620165787,0.6210007048472187,0.0
15,857,2,13450.100857626543,2,11018.551932525115,67.74277496175444,0.28696925929634065,0.5416288830006818,7.0
16,578,2,13198.70124003752,2,11264.175355466215,29.680152731908176,0.28346169894631645,0.6327148132214205,0.0
17,482,0,11342.373904396292,5,11223.162660828388,35.71825408859434,0.28426478761630175,0.5901277750546525,0.0
18,21,0,9488.018946426611,1,11295.852292667532,24.92945111465679,0.28293066938323286,0.6671622177337599,0.0
19,203,1,12784.001342453414,5,11170.532116401891,50.56389488796111,0.2851310318169273,0.5600432836817423,6.0
20,21,0,11648.929091348155,5,11278.134839208627,24.770957589947546,0.283116843275917,0.6670943607474497,0.0
21,161,1,13567.294140545491,4,11289.334075214629,27.326123151881315,0.2830987379850359,0.6484059558486457,0.0
22,14,1,11101.140507080656,2,11254.932249559011,36.570989850584766,0.28382886529981033,0.600911436655362,0.0
23,710,1,10175.335847492917,0,11302.01195929073,27.696570927737643,0.282981004281922,0.6442194939660432,0.0
24,520,2,9085.742661024891,1,11294.703260568927,26.20494136554346,0.2830069648836925,0.6536759028290714,0.0
25,883,0,11497.821087647038,4,11295.279167236145,29.8280061165245,0.2831404070033345,0.6309666482731808,0.0
26,12,0,12911.75758044155,4,11238.594135911244,36.190084676806585,0.28398869658521514,0.6022156610747625,0.0
27,485,1,6932.5505526503175,2,11223.445845700526,39.28957410236348,0.2842599329537965,0.5903236154495183,0.0
28,677,2,13488.101583074018,2,11302.853029253318,22.608538920318935,0.2827789946784872,0.6900572643543051,0.0
29,802,2,5132.971182426092,2,10997.58359751212,58.595067963126525,0.28719598217205106,0.5424627149294705,7.0
30,508,0,13576.752284097212,2,11206.6889138576,42.36714158260064,0.2845358693125684,0.5800364340336388,4.0
31,359,1,11376.444680464663,1,11300.57103350167,21.949905040122406,0.2827951465052786,0.6892510542650272,0.0
32,344,1,12424.266415114118,4,11247.116657248718,32.0558364458358,0.2838244446195026,0.6106941151425099,0.0
33,519,2,9988.38479577774,2,11317.912168718425,17.220408439161293,0.28248017323960206,0.8477395402842365,0.0
34,802,2,6738.155022734019,2,11009.351797175952,65.60740355951047,0.28706615725253276,0.5411101587053303,7.0
35,813,2,10879.53995275294,2,11248.132806513411,33.669743787667755,0.2838041994883042,0.6118001671305341,0.0
36,520,2,9669.262812915556,1,11305.635762755768,26.364719999232673,0.28289015842251036,0.6537095782419369,0.0
37,981,0,10334.853311991079,2,11287.36452505572,17.130797823095833,0.28279045307828554,0.8476570662901101,0.0
