,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Temperature overshoot 2105
0,857,2,12503.447135308828,3,2483.3521517872086,0.0,0.0,7.0
1,115,2,11460.51756937008,3,2485.8795368807346,0.2052637183537228,372.6198936204345,7.0
2,927,2,5248.914971798339,4,2487.2705673019036,1.171666760086908,510.98771966139356,7.0
