,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Lowest income per capita 2105,Temperature overshoot 2105
0,623,1,13421.581472640346,0,11122.96356165747,3.9908473709716397,7.0
1,360,1,4988.377071981022,1,11096.803703031252,5.506626787671411,7.0
2,404,1,13590.109830657897,5,11079.84023873094,6.535659479556789,7.0
