,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
0,527,0,10617.721997869705,1,0,1,0,1,0.22298411012606154,11247.456081664339,14.376405301046814,0.28381769884658437,0.6110611547826481,0.0
1,857,2,11195.129236289431,2,0,1,2,1,0.2991414679068044,11006.330100567484,50.8509291153635,0.2871015634665864,0.5430171495581959,7.0
2,315,0,5295.1441479996965,5,2,1,0,1,0.5722194991092274,11237.29974549995,33.69349091418347,0.28401284082008643,0.601077219587075,0.0
3,23,2,8291.133528267812,0,1,1,2,1,0.5738017577444774,11139.037972160702,49.582977848899816,0.2855080226928463,0.5580094764543084,6.0
4,399,1,9256.020611964492,4,1,1,2,1,0.5845665763447496,11276.878590793784,24.002785945654225,0.28315025260376125,0.663006822766202,0.0
5,247,1,8666.133620237666,0,1,1,1,1,0.5942958162266696,11211.969733164244,40.82727749610724,0.2844512078485774,0.5830133302474029,3.0
6,161,1,11664.085201678707,2,1,1,0,1,0.5955612547788705,11271.577213703356,26.895576449103054,0.2832856220597938,0.6483425287905895,0.0
7,216,0,9616.923558955423,4,2,1,2,1,0.14732068911053725,11166.93558745931,25.736562721712986,0.28511995315798677,0.5630022455452466,6.0
8,843,2,7149.017207238745,4,0,1,1,1,0.5899521957843387,11148.662503612222,49.93734190366778,0.2853728207082623,0.5590166770217655,6.0
9,852,0,7115.474057983951,1,1,1,2,1,0.5704525456754308,11192.521531771117,41.690641809133126,0.2847538029590426,0.5730064529435303,5.0
10,167,1,9419.238496530761,4,1,0,2,1,0.5999993470765387,11246.402065457016,38.36364982764171,0.2839831833318361,0.594004448207907,0.0
11,847,2,5288.338989218103,2,0,1,1,1,0.5951669666636732,11256.671972867684,31.318386933655738,0.28362768282067485,0.6220396246553113,0.0
12,139,2,7679.507565479048,4,1,1,1,1,0.47540452640410713,11185.622262741146,35.3979240794709,0.28485569933897054,0.5700105598981534,5.0
13,520,2,12370.422254507488,1,1,1,0,1,0.5400017077543153,11276.243734084917,20.736013727113257,0.2831669295658852,0.6610639427034755,0.0
14,324,1,10908.409919334541,4,1,1,1,1,0.5885216480443201,11216.898025082413,39.331969887640405,0.28437040500468097,0.5860034521355793,2.0
15,982,1,13078.007305879684,2,1,1,0,1,0.5999990837216398,11236.209612215303,36.709940914536396,0.284033023019042,0.6001381540865054,0.0
16,680,0,11950.432312939623,4,1,1,1,1,0.5838182831761286,11251.077982521485,31.63461392480439,0.28374464882130007,0.6151331790727111,0.0
17,473,1,12013.208658267811,4,1,1,1,1,0.597899518069439,11218.690317980247,39.98786202778336,0.2843405263460515,0.5871442108582403,2.0
18,639,1,8769.381339923286,4,0,0,1,1,0.5999629881183209,11190.912599333535,47.74043938999304,0.28484685859930453,0.5650756905990949,6.0
19,950,0,6148.290781122503,5,1,1,1,1,0.5993323981442558,11152.396247779303,50.44234969579318,0.2853232181265967,0.5600217495316125,6.0
20,367,2,7711.69814811603,1,0,1,1,1,0.5999999992823489,11028.91925810638,63.78353834831984,0.28685319275819093,0.5445771851838928,7.0
21,867,1,5683.736285056893,2,1,1,1,1,0.5905777214570739,11261.09899396075,29.64522689465019,0.2835311260491314,0.6281199902398592,0.0
22,323,2,9319.458752940718,1,1,1,1,1,0.5999887700560501,11048.013666780527,62.03279433070652,0.2866376954654635,0.5460595948317434,7.0
23,590,2,10565.226593508152,2,1,1,1,1,0.5999999973960896,11269.143524325595,28.137750600919862,0.2833450399809886,0.6426030558167615,0.0
24,97,1,10984.801399941696,1,1,1,1,1,0.5795539589718723,11125.197119561884,51.8364978331699,0.2856865868039077,0.5550048786705284,6.0
25,901,2,7325.282045134736,0,1,1,2,1,0.5999955626067975,11164.01941352627,48.90703294339018,0.28515976360249085,0.5620305357677561,6.0
26,89,1,12020.58481647496,5,1,0,1,1,0.5999074368347939,11264.703375389452,34.325647711112104,0.283641492712862,0.6104724916328357,0.0
27,115,2,6104.755508452589,4,1,1,1,1,0.5999999766279671,11017.531586675923,64.78832019485743,0.28697924410643283,0.5437665012697711,7.0
28,318,2,13614.27362552225,2,1,0,0,1,0.5999973149406366,11267.958125252933,33.53787664003388,0.2835761573455771,0.6140942710672352,0.0
29,89,2,13486.030388476285,5,1,0,1,1,0.5997698694673061,11243.693094811195,38.881529638811195,0.2840306204702709,0.5920062318967136,0.0
30,570,0,9729.330844089738,2,1,1,1,1,0.5999918171578831,11234.940465747939,36.98065092155981,0.284056348474725,0.5990668786195193,0.0
31,26,1,8990.36015331906,5,1,1,1,1,0.5999638509354417,11212.13533747393,41.408270332779786,0.2844485627130178,0.5831126511355671,3.0
32,946,1,7514.010043556026,2,1,1,2,1,0.5999999994051117,11263.198084457319,29.977820383264735,0.2834839735898628,0.6312198323287708,0.0
33,570,2,12966.242070205113,4,1,1,1,1,0.5635004542305734,11277.827368758066,21.908183907447086,0.28312507209708826,0.6660765769778656,0.0
34,955,0,9506.525151027241,2,1,1,2,1,0.599999961632475,11198.883652433897,43.680199902765565,0.28465747150036225,0.5760047063344271,4.0
35,248,2,9552.639062097402,4,1,1,1,1,0.5997901910634037,11275.231666418962,26.013907352177004,0.28319324114236344,0.6581453453638408,0.0
36,817,2,13632.616092382175,1,1,1,1,1,0.5999999917860231,11284.261327437272,21.68622146425845,0.2829341008037322,0.9163286438610502,0.0
37,378,2,10444.649143450513,1,1,0,1,1,0.5999982340383327,11294.357288708261,25.52756632658514,0.28297043723852566,0.6622914811102825,0.0
38,905,2,10059.150416760636,4,1,1,0,1,0.5997588957703158,11212.063452521268,41.398716926613616,0.2844497290633892,0.5830705094840387,3.0
39,65,1,12918.816940305433,2,1,0,1,1,0.5999999104728474,11228.211765500257,41.805339189101126,0.28428931594427825,0.5820467117929113,3.0
40,521,2,5307.1992180328525,5,1,1,1,1,0.5638649318603838,11169.859918798775,44.469936656423634,0.2850796305013502,0.5640055230311521,6.0
41,374,2,5313.80018029472,2,0,1,1,1,0.4187788867807182,11200.898220894025,29.75649481596846,0.28462646060953917,0.5770059712670342,4.0
