,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Lowest income per capita 2105,Temperature overshoot 2105
0,0.2262853509727647,2116.0735019326544,0.0105898272581553,0.007798073623543,11092.643806251228,4.300146890525581,7.0
1,0.2418058714205341,2120.6282674880304,0.0051449087401776,0.0059434351653538,11098.833045949012,4.202771276748662,7.0
2,0.2461479696119065,2065.000000038221,0.0024452813061622,0.0010995491642196,11089.234542796774,5.200091662050228,6.0
3,0.2348537173180483,2144.60927484409,0.0067215318942128,0.0073371152941427,11107.40322662485,4.000188140590713,7.0
4,0.2288734342410989,2120.2004797221125,0.0018330137983794,0.0050748889904605,11096.725799896143,4.250031544728853,7.0
5,0.23186295427839,2133.1007641084766,0.0060888544602867,0.0029934646340084,11103.182973701354,4.100062255902753,7.0
6,0.2334028323230626,2138.639523013659,0.0010379020800302,0.0021502039125617,11105.496487392164,4.050032296159177,7.0
7,0.2309830970613665,2127.6759822642643,0.0044664511574344,0.0017823232750901,11100.43988924916,4.150127242722551,7.0
8,0.2394257447631358,2156.975284342356,0.0113498347251442,0.0029202158384654,11110.119366972578,3.9001996560415817,7.0
9,0.2368925375296815,2150.715731070104,0.0016042230441399,0.011339745313153,11108.940867039428,3.950268832057811,7.0
10,0.2417898150903505,2173.0528301216546,0.0062510234233988,0.0130292721370897,11111.542414890824,3.800044491548604,7.0
11,0.2095000211362133,2065.0,0.0017764673343778,0.0012527153287139,11078.186801786704,5.250004142648546,6.0
12,0.2415747049520977,2173.238768648846,0.0080994901202753,0.0046834121089108,11111.5444535254,3.800000306171782,7.0
13,0.228777026484462,2120.233944768257,0.0026050075044739,0.0047648391261267,11096.728541949233,4.250004604533471,7.0
14,0.2342755112453085,2138.234541380096,0.0091879799209549,0.0048262076676938,11105.49470286725,4.0500122434851225,7.0
15,0.246068529816161,2065.0,0.0012687628112216,0.013052258360362,11089.231920597513,5.200236912582172,6.0
16,0.2094985593919317,2065.0,0.0010037613680692,0.0017219873739432,11078.185949605946,5.250005423986319,6.0
17,0.226678928036879,2115.974044137872,0.0052450496709999,0.0012044474855067,11092.659794142332,4.300006417943436,7.0
18,0.2376625278257687,2158.105888543605,0.0076760271049116,0.0084820265271789,11110.128219824035,3.9003139397315407,7.0
19,0.2318231952175257,2133.1023062622858,0.0059994872452269,0.0095874395803493,11103.176392600546,4.100188596015183,7.0
20,0.2344818168383305,2144.806773408597,0.0049835423353207,0.0137189076677039,11107.401022152451,4.000165473327059,7.0
21,0.2373275653120244,2150.484836150815,0.0042048081604172,0.0071311888543688,11108.941584462484,3.950121188270874,7.0
22,0.2313035701310398,2127.547274093292,0.0011210053998401,0.0021243773250335,11100.433203972732,4.150201085384605,7.0
23,0.2419343938151402,2120.610147575333,0.0020530591039834,0.0037014371680331,11098.825415880154,4.202506739425072,7.0
