,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Intratemporal consumption Gini 2105,Temperature overshoot 2105
0,0.1570143579575936,2065.0000001131098,0.0047985855641391,0.0041692156427941,11111.963740886547,0.2824999884041466,6.0
1,0.2277943001317773,2065.00000007471,0.0021855412178456,0.0049432831698853,11172.643742485188,0.2844999557411262,6.0
2,0.1432697636933524,2065.000000000005,0.005914781804623,0.0018149703022569,11089.194857117209,0.2819999439537406,6.0
3,0.1307573158974054,2065.000000000055,0.0066667420959442,0.0013966002564407,11064.720827606843,0.2814998650837858,6.0
4,0.1356262413220193,2065.0,0.0040363749739284,0.0010865765145521,11074.68968067506,0.2816999984699032,6.0
5,0.1853786513237398,2065.000000000001,0.0051449436850596,0.0062695948192139,11146.804402845655,0.2833999338767131,6.0
6,0.1753581394703454,2065.0,0.0050863005943238,0.0053337692390996,11136.24999136576,0.2830999455311082,6.0
7,0.207332564401307,2065.000041474343,0.0010213424357626,0.0066115783405168,11163.79657645152,0.2839999555191144,6.0
8,0.1150522380456685,2065.0,0.0010097950148756,0.0053469473178676,11028.42198415667,0.2807999828017579,6.0
9,0.2365852095421363,2065.000000000243,0.0048145453195537,0.0112276424350622,11174.51574193728,0.2846999641949302,6.0
10,0.2321413047173756,2065.0000000000005,0.0017679085145076,0.0044779881513891,11173.709848090795,0.2845998833367958,6.0
11,0.223532735379498,2065.000000000004,0.0077742746206808,0.0119283814084353,11171.327658326352,0.28439996203641,6.0
12,0.1541587670029379,2065.0,0.0017927940068627,0.0116212151872479,11107.569755874209,0.28239995597128,6.0
13,0.1283913531487848,2065.0,0.0052761137834032,0.005150202445751,11059.664427514785,0.2813999017618073,6.0
14,0.1819715720221871,2065.000000000005,0.0024715101409227,0.0069534699592405,11143.42108566674,0.2832999386578568,6.0
15,0.2152682524649341,2065.0,0.0011961952567669,0.00257103838596,11167.994277621843,0.2841999952977084,6.0
16,0.1193390400459422,2065.0,0.0013405023542556,0.0092153440843268,11038.983942447829,0.2809998557643591,6.0
17,0.1129626112796859,2065.0,0.0029415878248128,0.0047546368275745,11023.087029423004,0.2806999499095982,6.0
18,0.1599183319181081,2065.0,0.0026103622707491,0.0025198395229754,11116.257454497269,0.2825997732662781,6.0
19,0.1659133129290692,2065.0,0.0030470235806463,0.0034448781383859,11124.5772848529,0.282799847375306,6.0
20,0.1069098214584375,2065.0,0.0058566568479692,0.0027210692936819,11006.920400420848,0.2803999945362573,6.0
21,0.203485426104195,2065.0,0.0078320577118531,0.0057552089206825,11161.400143470832,0.283899953594072,6.0
22,0.1030424112470429,2065.000000009452,0.0022964701597133,0.0080837432350004,10996.01643421593,0.2801999346361427,6.0
23,0.1513578239484778,2065.0,0.0024873469714634,0.0041352451912905,11103.091372252014,0.2822999354049483,6.0
24,0.1109102599457211,2065.0,0.0024633350643093,0.0119149732109931,11017.725539900224,0.2805999748192561,6.0
25,0.1459153607970879,2065.0,0.0011570099931345,0.005295783345298,11093.900954209152,0.2820999579254217,6.0
26,0.2411159379162891,2065.0,0.0029064001836149,0.0021077447831212,11175.0463702981,0.2847999299500923,6.0
27,0.2193514319130332,2065.000000005089,0.0015145278853336,0.0019239719541976,11169.77141899531,0.2842998164267234,6.0
28,0.1786292621260051,2065.0000000062537,0.0036629626978893,0.0080160665020213,11139.897747402629,0.2831998618201652,6.0
29,0.1237806917336711,2065.0,0.0032373890070868,0.0017667659729001,11049.400188324404,0.2811997348289556,6.0
30,0.1486104965565838,2065.0,0.0027666058278014,0.0111102913849881,11098.533696674822,0.282199937485194,6.0
31,0.2112537841590561,2065.000000000002,0.0028996796531592,0.0016378907241929,11165.9949268373,0.2840998229361967,6.0
32,0.1960202472955287,2065.000000000002,0.0027214791239613,0.0016130340388443,11156.057054518316,0.2836998976503847,6.0
33,0.1215437318830923,2065.0,0.0038707086924751,0.002437149039051,11044.220165764476,0.2810999603555625,6.0
34,0.1690019193850929,2065.0,0.0020857757158554,0.0011659016532508,11128.584231787168,0.2828999495363825,6.0
35,0.1381261820915318,2065.0,0.0094652740690787,0.0026088567420531,11079.585061378157,0.2817999558668828,6.0
36,0.1997148084212583,2065.0,0.0021484523510695,0.0021983727430441,11158.817000578818,0.2837999234162676,6.0
37,0.1088917732271113,2065.0000361457,0.004297838522372,0.0119719734549984,11012.33283654704,0.2804999323661751,6.0
38,0.1049599081727014,2065.000000008397,0.0056081856695862,0.0016760642521074,11001.47997072567,0.2802999767450458,6.0
39,0.1331706892538415,2065.000000101434,0.0035171194226195,0.0143238098263519,11069.73469898154,0.2815999848607349,6.0
40,0.1721478076083185,2065.000070130953,0.0069422706632985,0.0045528004212861,11132.47466911345,0.2829999225902221,6.0
