,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Lowest income per capita 2105,Temperature overshoot 2105
0,0.23194880348568178,2127.195019810817,0.009141471086858727,0.0011235299843079863,11100.363328647101,4.151198876445085,7.0
1,0.22953410451626927,2115.137884798335,0.0061997086993853786,0.014319272814176554,11092.58747971393,4.300202085979905,7.0
2,0.2310145190261437,2139.5596239581955,0.008242633785803933,0.005057941047873571,11105.374883397602,4.051567181264911,7.0
3,0.23953360178336758,2156.8048078126944,0.010532591355675617,0.010981980119401335,11110.103873203243,3.9008212967966767,7.0
4,0.2414290334668685,2173.2788024182905,0.01070703678307948,0.009652441551202354,11111.541815649944,3.800409798644103,7.0
5,0.23022649617707125,2133.737583645154,0.012379331856815213,0.0077348558279177896,11103.130040676368,4.100486397487062,7.0
6,0.22726635189176134,2120.572117683096,0.012792000126173078,0.0031067806109531123,11096.611088169964,4.2514187079866,7.0
7,0.2418423343609006,2120.572117683096,0.012714175384609195,0.00205031561006723,11098.79340159792,4.20321214398131,7.0
8,0.23390239116931089,2144.8412930595664,0.0015384836485945672,0.007715764820722352,11107.32667905204,4.002080513397862,7.0
9,0.20806646446555307,2065.0001205559442,0.013241948919360244,0.01077126417246478,11077.334319473906,5.251229532571867,6.0
10,0.237805955729706,2150.132454058013,0.01191500793310895,0.007967085167278898,11108.920382210714,3.9506219335433745,7.0
11,0.2436755506539903,2065.0084318440126,0.013065213525592125,0.006182861137715811,11089.100503034857,5.204321863577989,6.0
