,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Disutility 2105,Temperature overshoot 2105
0,927,2,11438.802284766838,2,1,0,1,0,0.5999999999999963,2485.609111149193,67.92457107731522,7.0
1,927,2,12642.71623121684,2,1,1,1,0,0.5999999999999996,2482.8837988061673,67.89515309531052,7.0
