,Unnamed: 0,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Temperature overshoot 2105
0,72,0.1289215852112016,2065.000000000525,0.0010000000002491,0.0035920200064723,9900.162397529744,44.99998387244675,7.0
1,293,0.2031022260887739,2065.000000000191,0.0010000000006578,0.0010106887155447,9993.835324024822,46.99993805174146,7.0
2,502,0.1640270229836445,2065.0000000028067,0.0010000000000324,0.0029424939484974,9957.167467730997,45.99996807899035,7.0
0,166,0.1709475070155039,2065.000001014119,0.0010000000330685,0.0011357991833371,10086.70881419182,20.999961395182574,5.0
1,330,0.210783026554802,2065.000000000444,0.0010000000000005,0.0014385011606142,10118.14735081007,21.99987781027126,5.0
2,728,0.1340106342275482,2065.000000001166,0.0010000000000003,0.0033416271776979,10032.850290765266,19.99999225560688,5.0
0,210,0.1692942808816534,2065.0000000000377,0.0010000000000706,0.0078654236047665,10070.397043963869,21.999994942278096,6.0
1,224,0.2428039144505779,2065.000000001923,0.001000000000031,0.0052026589304289,10112.217082710704,23.99872921113922,6.0
2,259,0.1048312932868962,2065.0000000000305,0.0010000000000009,0.0041912504943667,9954.719740388638,19.99998210777516,6.0
3,838,0.2049340696399247,2065.000000000002,0.001,0.0119089520968886,10100.599138370786,22.9999602411578,6.0
0,719,0.2206283075062196,2065.000004607303,0.0010000000024799,0.0061293789861915,10029.43972135762,17.99996977813846,6.0
1,1330,0.2465563276015879,2065.000000010555,0.0010000000000594,0.0056981519998309,10034.466657523057,18.56924729925093,6.0
2,1597,0.1014725961677752,2065.000000074905,0.0010000000066955,0.0038222307966908,9863.343962906682,14.99994379737024,6.0
3,1613,0.2333777729072539,2138.346201733958,0.0010000000000314,0.0028874723441995,10049.080310332936,32.73884971047998,7.0
4,1993,0.2275820098026534,2119.490762074203,0.0010000000000292,0.0078018104318501,10040.45764028655,29.99740339742385,7.0
