,Unnamed: 0,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Lowest income per capita 2105,Disutility 2105,Highest damage per capita 2105,Temperature overshoot 2105
0,44,0.2419354692740551,2065.000000000022,0.0018691798424875,0.0028134536304019,11059.235129860615,6.597854556702693,47.899727432586296,0.05335400997187,7.0
1,91,0.1862404049863534,2065.0,0.0104141529362236,0.0023711596398253,11030.27852562316,6.559608453317995,46.58133542309777,0.0499999808178893,7.0
0,35,0.187604394492551,2065.0,0.0016007575653169,0.0055833323512401,11164.868105043228,6.264512807782076,21.42700797388553,0.1249999272366247,5.0
1,82,0.2184339538511995,2065.0,0.0048819183625594,0.0056761610569755,11185.382822935111,6.272573006530653,22.183946605493947,0.1299998325810173,5.0
2,112,0.1340098591235935,2065.0,0.001607965096562,0.0030405814209515,11087.458779515917,6.174682508439745,19.999970418752905,0.1168244530731032,5.0
3,127,0.1552880284122648,2065.0,0.0040086562206986,0.0080036981632201,11125.30775977371,6.222834293018177,20.58551497123462,0.1199997749064461,5.0
4,128,0.23608656518288,2065.0,0.0102104828574731,0.0114813816294353,11190.455707280413,6.26451709867958,22.59985321151985,0.1329766684745121,5.0
5,132,0.2107866136177716,2065.0,0.001153444107106,0.0022191366786423,11181.72539889551,6.273272438428682,21.99996467105725,0.1287368441098131,5.0
0,44,0.1692941196964203,2065.0,0.0095216282579201,0.0036638819893817,11128.953652319897,6.717079484056353,21.99999027066628,0.0432387302820264,6.0
1,49,0.2428491330464037,2065.000005307026,0.0102716249298361,0.0116575199296142,11175.172588475902,6.784889138249835,23.999888074836004,0.0474498820813014,6.0
2,56,0.1069673649474569,2065.000000000027,0.0083154472880941,0.0125077179476255,11007.079202801786,6.50866639972538,20.07108119746228,0.0399999928239118,6.0
3,61,0.2010983295467582,2065.0,0.0129533327451965,0.0037691672249889,11159.792008260338,6.767282670319099,22.89533046380521,0.0449998929896996,6.0
0,82,0.242735173165994,2065.00000000008,0.0142650287496216,0.0014192975908866,11089.041560051515,5.20619135250747,18.48681385723817,0.2904975037431362,6.0
1,184,0.1014732173596096,2065.0000000000005,0.0014606525321342,0.001948975025708,10900.138109843758,5.1605838292293225,14.999961575336318,0.2461557663193234,6.0
2,220,0.2236762682305543,2119.844566750936,0.0068259257948444,0.0050639940572135,11095.04151653124,4.269631401688706,29.872371303218543,0.3964673128424844,7.0
3,228,0.2382544879531022,2157.2015816107664,0.010653315325931,0.0076270169316012,11110.064508148098,3.903480597379416,34.63889388659431,0.4534897093531931,7.0
