,Unnamed: 0,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Distance to damage threshold 2105,Population above damage threshold 2105,Temperature overshoot 2105
0,599,0.1909422531627727,2065.000000364181,0.0010000000066753,0.0015688001192708,9985.10754609539,46.69992662529511,0.0,0.0,0.8991871062012893,4536.524725402596,7.0
1,710,0.1289218739500179,2065.000000000007,0.001,0.0088549979219407,9900.162975682502,44.99999256186149,0.0,0.0,0.7636290611363132,4536.524725402596,7.0
0,248,0.1709476015834799,2065.0000000000355,0.0010000000000004,0.0015498988871665,10086.70895345084,20.99996369769258,0.0,0.0,0.3839096119079885,1863.0994681021723,5.0
1,391,0.1792255115438824,2065.000002841117,0.0010000002310608,0.0122572677667518,10095.32854358531,21.213890355974502,0.0,0.0,0.3992803445775608,1863.0994681021723,5.0
2,726,0.239451395067984,2065.0000000000023,0.0010000000000026,0.0027699873892871,10126.458233532703,22.677801477501475,0.0,0.0,0.5154271844953973,3056.9834025114515,5.0
0,577,0.1048313457199202,2065.0000000000327,0.0010000000001702,0.0015125236595272,9954.719874193906,19.999983857694787,0.0,0.0,0.4514909804432461,1863.0994681021723,6.0
1,623,0.1108856022893855,2065.000000097216,0.0010000000000803,0.0071242947510664,9969.689514000318,20.200521428920872,0.0,0.0,0.4637913385869728,1863.0994681021723,6.0
2,753,0.128515240244999,2065.000000010024,0.0010000000000004,0.0088800759510745,10007.94099530881,20.768112520845527,0.0,0.0,0.4999974935306281,3056.9834025114515,6.0
0,62,0.2359934167733511,2138.959771312433,0.0010000000029858,0.0123560669214975,10049.587380738849,32.92662550677331,0.4985435237243026,372.6198936204345,1.871365088659019,6033.628846104919,7.0
1,363,0.1774171704463076,2065.0000002030374,0.0010000000003821,0.0137595401356348,9999.643511414177,16.993818808405457,0.1135879997476068,372.6198936204345,0.4999971022952836,3056.9834025114515,6.0
2,522,0.2299255451226638,2132.36205498938,0.0010000000007746,0.0139641579877515,10046.448646385214,31.94604281902908,0.4704495152220415,372.6198936204345,1.7876412978422604,6033.628846104919,7.0
3,1283,0.2364948108426341,2154.511000061509,0.0010000000059048,0.0091838420303823,10052.817729041804,34.33850821388743,0.5400334619581133,372.6198936204345,1.9931894229362808,6033.628846104919,7.0
4,1936,0.137970410206095,2065.0000000018263,0.0010000000003457,0.0029438215199496,9944.57874247082,15.999986139647596,0.0913939559900834,372.6198936204345,0.4332076232353865,3056.9834025114515,6.0
5,2139,0.245663338623208,2065.000000022036,0.001000000000007,0.0012226331790882,10034.440001252477,18.550026605066908,0.1510592320421169,372.6198936204345,0.6211952729548591,3056.9834025114515,6.0
