,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Temperature overshoot 2105
280,0.1541997938568556,2065.003768855592,0.0010000085940134848,0.008909544473077404,9970.856874592855,0.10071310888902679,372.6198936204345,6.0
281,0.13726374704650118,2065.000105329273,0.0010000000202162712,0.010477084145303229,9943.30813147074,0.09098188398565116,372.6198936204345,6.0
282,0.15682775630555146,2065.0012076848247,0.0010000191899479489,0.008887498138101751,9974.607585255972,0.10217954835488585,372.6198936204345,6.0
283,0.22560755638240004,2065.0000666919022,0.0010000000751570215,0.010676947936669937,10031.104591981333,0.13991590875888316,372.6198936204345,6.0
284,0.10807194392585641,2065.001233313256,0.001000001529007804,0.006623892410242704,9880.57379935681,0.07314588750653306,372.6198936204345,6.0
285,0.20803646547185423,2065.00021075758,0.001000000018770681,0.010643057615014502,10023.670842081418,0.13029604491149438,372.6198936204345,6.0
286,0.1985526556215446,2065.0003017452796,0.001000014028856997,0.014967958523212897,10017.780891466065,0.12512907972223514,372.6198936204345,6.0
287,0.20686062733404015,2065.000187684455,0.0010001030402768277,0.01052343888216434,10022.912069487,0.12965476028201767,372.6198936204345,6.0
288,0.19519969142100696,2065.000339439193,0.001000001073009079,0.010863633682234157,10015.389670458922,0.12330305059501051,372.6198936204345,6.0
289,0.11673862384525666,2065.000492444153,0.0010000085994879234,0.0098457812176032,9901.395524345597,0.07862792992102419,372.6198936204345,6.0
290,0.16175333791344432,2065.0004801264795,0.0010000287237223481,0.01215450305605086,9981.2877792713,0.10493243201507585,372.6198936204345,6.0
291,0.1807869918186114,2065.00059022114,0.001000018046848518,0.007201590504571597,10003.008040571556,0.11543806367273729,372.6198936204345,6.0
292,0.19044870190412302,2065.0007297633133,0.0010000007310044824,0.010626001357789325,10011.682596753357,0.12071613610568988,372.6198936204345,6.0
293,0.20435239404841105,2065.0012329304136,0.001000006534645015,0.008977961715964792,10021.540634223455,0.1282934017239694,372.6198936204345,6.0
294,0.159283310666903,2065.0002058765235,0.0010000010185552458,0.010314845737535414,9978.018785636066,0.1035512014742001,372.6198936204345,6.0
295,0.21361957487402752,2065.0001957301347,0.001000000018770681,0.009777819665196832,10026.50866121136,0.1333436735464985,372.6198936204345,6.0
296,0.13932494947609017,2065.000908240923,0.001000025773805684,0.010585879351609992,9946.957131256358,0.0921872332541967,372.6198936204345,6.0
297,0.22877315388561711,2065.00144254213,0.0010000032292516413,0.009788009494408953,10031.981745889421,0.1416685642083816,372.6198936204345,6.0
298,0.13134848574661193,2065.0002926604016,0.0010000179071334128,0.009365495146041087,9932.221766011115,0.08749930311192616,372.6198936204345,6.0
299,0.14898435740507343,2065.000446474687,0.0010000356451043439,0.008174703329196856,9962.972521772743,0.09774090262512314,372.6198936204345,6.0
300,0.10458354948708681,2065.000446763077,0.0010000097726868358,0.013041919199504445,9871.610380209107,0.07087837532105956,372.6198936204345,6.0
301,0.1533085340087553,2065.000537700313,0.0010000046818413036,0.009525541302207572,9969.558960930328,0.10019380323723392,372.6198936204345,6.0
302,0.17082783456292047,2065.0004853967057,0.0010000015032984458,0.008769221895561521,9992.463297582186,0.10996508690124002,372.6198936204345,6.0
303,0.1419303465052517,2065.0000020155694,0.0010000031019039787,0.014942038204623781,9951.495533435553,0.09369299615775395,372.6198936204345,6.0
304,0.10111925027369537,2065.000001651395,0.001000027483888708,0.008151823534638789,9862.359226669036,0.06859287826149135,372.6198936204345,6.0
305,0.1316199007226429,2065.00059022114,0.001000018046848518,0.00763129761258478,9932.746397279649,0.0876617983051487,372.6198936204345,6.0
306,0.17921206552896188,2065.000015520448,0.001000025436151459,0.009466265980708693,10001.443974875605,0.11457236084964106,372.6198936204345,6.0
307,0.11585941217180211,2065.0000747790036,0.0010000002975484184,0.010460237196191251,9899.380849118941,0.07807784343444368,372.6198936204345,6.0
