,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Distance to damage threshold 2105,Population above damage threshold 2105,Temperature overshoot 2105
0,0.15027093394658378,2065.0000388847984,0.001000000412764651,0.002121206976015668,10059.845806360328,20.449880526433788,0.0,0.0,0.34618352452753576,1863.0994681021725,5.0
1,0.19852439711265074,2065.0000001831627,0.0010000000005421028,0.004756482467169347,10111.088179205362,21.699850949755138,0.0,0.0,0.43568727993050316,3056.9834025114515,5.0
2,0.22750856687514076,2065.0000149027933,0.0010000000305250736,0.0031098485727671468,10124.338441001451,22.399243319507615,0.0,0.0,0.491813935160492,3056.9834025114515,5.0
3,0.24253525266523224,2065.0000003622413,0.001000000002640778,0.0031360571193135164,10126.705982426882,22.74888088549008,0.0,0.0,0.5215695533858404,3056.9834025114515,6.0
4,0.21077830813161252,2065.000017390533,0.001000000001851631,0.004881218264404331,10118.145038258059,21.999766494426748,0.0,0.0,0.4592088111185093,3056.9834025114515,5.0
5,0.1287181172953175,2065.0000130137682,0.001000000301261805,0.006245875760653564,10022.839327710783,19.849979029339615,0.0,0.0,0.307911646415691,1863.0994681021725,5.0
6,0.23820193171730422,2065.0000000362584,0.0010000000196956232,0.001990337180217785,10126.323255590642,22.64890509646234,0.0,0.0,0.5129437465471389,3056.9834025114515,5.0
7,0.23165919771251248,2065.000006129461,0.0010000005899222458,0.001411631651991057,10125.286339514885,22.496656636790956,0.0,0.0,0.4999889095744603,3056.9834025114515,5.0
8,0.10818830032801116,2065.0000000071027,0.0010000000024491843,0.0012765270163946105,9977.699506507679,19.24976070318274,0.0,0.0,0.27251026158301905,1863.0994681021725,5.0
9,0.12696610788928814,2065.0000064353458,0.0010000000525712067,0.002299472709571629,10019.38580092392,19.79990982976667,0.0,0.0,0.3048494897219005,1863.0994681021725,5.0
10,0.13756434293384745,2065.00101602447,0.0010000000003176745,0.0011855211668054756,10039.223973445356,20.099858751974597,0.0,0.0,0.32349932791344993,1863.0994681021725,5.0
11,0.22541657071282567,2065.0000034071377,0.0010000000002929853,0.0031158641345534754,10123.77348137306,22.349893401168455,0.0,0.0,0.4877062006078774,3056.9834025114515,5.0
