,sr,miu,irstp,Total Aggregated Utility,Utility 2035,Utility 2055,Utility 2075
0,0.11356869537036463,2156.031746295997,0.001000000000000009,17706.491961717686,3465.044992966658,6052.992758192853,7981.731024477369
1,0.12261732142878656,2270.461567154392,0.001000000001940515,17707.85328639942,3460.4176230540966,6055.053075245516,7990.0641559150845
2,0.14871820444570324,2158.8311297464616,0.0010000000001366357,17812.715888199902,3440.101689651956,6047.205813672557,8000.022293754912
3,0.11526659197318359,2214.080150994933,0.001000000015433925,17693.736506126916,3465.0424455888774,6055.134395567939,7985.084514583223
4,0.12754173091600196,2154.242941826817,0.001000000000002727,17756.291650317402,3455.167918446025,6051.030612179426,7990.033693150411
5,0.14324732626564654,2229.8696998472424,0.0010000000000003361,17777.911798689824,3445.3515221910166,6050.8743307149125,8000.072238846128
6,0.1010038154527498,2222.578779910232,0.0010000000000000076,17631.51735039745,3475.010528127668,6056.531374704101,7975.030150840661
7,0.13524313581972403,2171.2909891698187,0.0010000000000000655,17772.50638270736,3450.1644138200127,6050.7275079140345,7995.056877497363
8,0.15682404089034654,2244.4061158414233,0.0010000000006651943,17805.33523552915,3435.5993162068453,6047.868123916363,8005.0356421595625
9,0.1937288552699428,2128.728118501516,0.0010000000000328234,17900.80682047396,3405.1880152482245,6030.32619621116,8005.497876070763
10,0.10789853486510083,2220.595719914758,0.0010000000000002464,17662.68476321034,3470.2412803987545,6055.997800395259,7980.15521084684
11,0.18000000493138762,2246.0660216026495,0.0010000000000001904,17845.939192552763,3418.3456684521366,6040.88393835524,8010.025552840929
12,0.1685586836891317,2149.7615022757827,0.0010000000000000176,17857.228212759186,3425.188731341341,6041.237278890218,8005.080318193648
13,0.1835524918085321,2215.505475787062,0.001,17859.347267379555,3415.3322382827505,6039.120750144204,8010.1462446592905
