,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Lowest income per capita 2105,Disutility 2105,Highest damage per capita 2105,Temperature overshoot 2105
0,463,2,12092.24228688746,2,11024.734996824074,2.5766516837476887,61.545092635188254,0.6402305632689564,7.0
1,927,2,12180.608650660211,2,11016.333047488923,2.302267739343285,52.658572306139405,0.6794043317054266,7.0
2,927,2,12168.123937262484,2,11004.254338775423,4.71760887904008,67.14637839692018,0.34149012408279905,7.0
3,739,2,11148.178594153844,2,11002.251037995165,6.377478466241067,66.02335914305354,0.10531023940847625,7.0
4,927,2,13648.801767670268,5,11023.696697002422,2.608673243928987,57.22918430266269,0.6354348433230632,7.0
5,927,2,12931.244033981702,4,11004.254338775423,6.363122560958418,67.89515308118959,0.11180024552707947,7.0
6,309,2,11905.503015701905,1,11059.494194591769,3.0704555793212016,63.12865699865828,0.57107665664333,7.0
7,927,2,11708.9556817149,2,11016.333047488923,4.732767327092354,67.92457107673177,0.340952106402402,7.0
