,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Temperature overshoot 2105
51,0.1000780611400048,2065.000000003565,0.0010000005890406,0.0130379872636537,9859.54266002709,0.0678993531931035,372.6198936204345,6.0
65,0.1017327196127766,2065.0000015846795,0.0010000000000556,0.0129713471618439,9864.04665804384,0.0689999042276072,372.6198936204345,6.0
116,0.1020349310141824,2065.000000026126,0.001000000015934,0.012399645082842,9864.860570906994,0.0691999799313999,372.6198936204345,6.0
261,0.1014310771027811,2065.00000037891,0.0010000000703811,0.0078466287656488,9863.231559937516,0.0687999105597602,372.6198936204345,6.0
292,0.1005279800043465,2065.0000000121604,0.001000000000004,0.0045279536678853,9860.775674977038,0.0681994574188458,372.6198936204345,6.0
322,0.100828174263102,2065.000000004032,0.0010000000062722,0.0062686651890922,9861.5946782119,0.0683993352245984,372.6198936204345,6.0
326,0.1018838576916415,2065.000000003743,0.0010000000032261,0.0055660411323822,9864.454037074294,0.0690999950595138,372.6198936204345,6.0
432,0.1006770846796021,2065.000000414059,0.001000000000944,0.0108145015967193,9861.182799646978,0.0682987729834151,372.6198936204345,6.0
520,0.1002278634932929,2065.000000010309,0.0010000000241898,0.0091475553795396,9859.954219497518,0.067999345771813,372.6198936204345,6.0
527,0.1009792341537237,2065.00000000214,0.001000000010595,0.0030212846788089,9862.005810791932,0.0684998076611809,372.6198936204345,6.0
546,0.1003773488992936,2065.0000001736257,0.0010000000087267,0.0075134534325861,9860.363712168988,0.0680990561726035,372.6198936204345,6.0
561,0.1012798444729813,2065.000000017116,0.0010000000016179,0.0066010288411669,9862.822008455576,0.0686995355706354,372.6198936204345,6.0
578,0.1015793049487164,2065.0000000002688,0.0010000000000278,0.0118519278561511,9863.632466757805,0.0688982187563213,372.6198936204345,6.0
804,0.1011261341318026,2065.0000000005416,0.0010000000000023,0.0084274024671756,9862.40499863862,0.0685974445112942,372.6198936204345,6.0
914,0.1000787375787561,2065.000000229036,0.0010000000101685,0.0056128858296063,9859.545087355456,0.0678998059091463,372.6198936204345,6.0
