,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Temperature overshoot 2105
4,0.2459571882274397,2065.0000002528686,0.001000000000361,0.005654375977047,10007.54008790621,47.9883158136626,7.0
7,0.2455283569342192,2065.0000002528686,0.0010000000002924,0.005826639657597,10007.525433842857,47.97890790634332,7.0
12,0.2450307543815612,2065.000001316086,0.0010000000021492,0.0057465199832622,10007.505472808136,47.96798023291327,7.0
22,0.1007570815855256,2065.000000021649,0.0010000006671683,0.0020991846462909,9833.828713991106,44.10991529611416,7.0
53,0.2467196574915846,2065.000000333131,0.0010000000029274,0.0045401897633737,10007.560331721614,48.005020936809096,7.0
94,0.1001574002360098,2065.000000000086,0.0010000000054966,0.001840851315106,9832.182817983936,44.089968110445696,7.0
138,0.2442045968358292,2065.000000004361,0.0010000000000004,0.0052690482502971,10007.46532257399,47.9498092968609,7.0
140,0.2427940739493682,2065.00000000004,0.001000000000004,0.0056103625986115,10007.37645712456,47.91870789896288,7.0
155,0.2462992672700665,2065.0000000016903,0.0010000000010538,0.0051909348058548,10007.550090020122,47.99581394575261,7.0
168,0.2476790420020734,2065.0000000008117,0.0010000000009461,0.0018039406272716,10007.57526934724,48.02599974198907,7.0
169,0.2423973841335535,2065.000000001731,0.0010000000002163,0.0064781658840136,10007.346836771045,47.90994319090833,7.0
251,0.2432903312359573,2065.000000000007,0.0010000000000005,0.0017804664264401,10007.41064832546,47.929661445913545,7.0
271,0.2446122023224985,2065.0000000000978,0.0010000000000013,0.0074717130104856,10007.48622982984,47.95877840279406,7.0
300,0.2472803989571058,2065.0,0.0010000000000022,0.0023628767739986,10007.570488769576,48.01728805575615,7.0
315,0.1004569988630133,2065.000000000001,0.001,0.0016684236074763,9833.006752604411,44.0999392469929,7.0
322,0.1010606883676187,2065.0,0.0010000000000098,0.0010003799332944,9834.6589613345,44.11999710559033,7.0
384,0.2436928297960918,2065.000000000001,0.001,0.0075961669319719,10007.436045423696,47.93853650623929,7.0
2268,0.2476559071105261,2065.00000650735,0.0010000000019528,0.0021464803860261,10007.575036124828,48.02549640554408,7.0
2302,0.245521580787713,2065.000000614453,0.0010000000039888,0.0053292419872833,10007.525179134762,47.978759287688696,7.0
2311,0.2423983586200424,2065.0000001880744,0.0010000000008107,0.0022430496422046,10007.346911148386,47.90996478919559,7.0
2346,0.2450426979268087,2065.0000029710623,0.0010000000017589,0.0089827344274238,10007.50598687512,47.96824318609935,7.0
2398,0.2472522526439349,2065.0000000101995,0.0010000000005138,0.0038012737575498,10007.570074142875,48.01667267447796,7.0
2402,0.2467080619580529,2065.0000000016908,0.0010000000029316,0.001160626816034,10007.56007993238,48.004766998236526,7.0
2412,0.100457677727689,2065.0000001428384,0.0010000001299705,0.005224324920693,9833.008488692562,44.09996186553385,7.0
2418,0.2463034958765582,2065.000000005445,0.0010000000048397,0.0078271088836624,10007.55020051287,47.99590660000497,7.0
2419,0.1010606387674943,2065.000000000396,0.0010000000006361,0.0103623285011214,9834.658825408644,44.11999545956565,7.0
2521,0.1001582868086137,2065.0000000001014,0.0010000000000002,0.0038417990141809,9832.185265452346,44.08999763356563,7.0
2533,0.1007595790517965,2065.00000000001,0.0010000000000431,0.0010021415459962,9833.836204627718,44.10999827000307,7.0
2535,0.2432918613992122,2065.00000000124,0.0010000000000057,0.0059931242948551,10007.410748826616,47.92969520154696,7.0
2582,0.2436827083279119,2065.0000000740465,0.001,0.0012974550688597,10007.435432262066,47.93831345048488,7.0
2616,0.2441456784597415,2065.000000000005,0.0010000000000001,0.0010250224317556,10007.462123728596,47.94851215167216,7.0
2624,0.24284997564424,2065.0000000000014,0.001,0.0014203026878039,10007.380467642628,47.91994239304336,7.0
2626,0.2459733237092413,2065.0,0.001,0.0038435416091888,10007.540594091208,47.98866954636031,7.0
2648,0.2446185095813468,2065.0000000000023,0.001,0.0022045036230385,10007.486536568473,47.95891712544419,7.0
788,0.1320761477615031,2065.000008458138,0.0010000000001411,0.0077225823142223,10014.769137051033,20.879983117937734,6.0
823,0.1307968655006226,2065.000000618017,0.0010000000897985,0.0096865527077322,10012.34900591905,20.839894568397916,6.0
910,0.1336753050321556,2065.0000030666893,0.0010000001422798,0.0051897781790365,10017.742748534278,20.92993306807932,6.0
959,0.1317567718572926,2065.000000170872,0.001000000000137,0.0077293587158123,10014.168413623082,20.86998456853001,6.0
987,0.1339981867571812,2065.0000000000123,0.0010000000000016,0.0011612233740376,10018.336437267317,20.9399965933985,6.0
990,0.13303075237851,2065.000000004097,0.0010000000000148,0.0127128218246915,10016.55113667374,20.909820766625323,6.0
1018,0.1327161466539188,2065.0000000000005,0.0010000000004842,0.0016121894163169,10015.966093289126,20.899993793023828,6.0
1019,0.1311184603626002,2065.0000000022105,0.0010000000019379,0.0148752641102466,10012.960924363992,20.8499826419248,6.0
1027,0.1314375675861417,2065.000000000256,0.0010000000000003,0.0087684365033248,10013.565722221923,20.85998562715333,6.0
1036,0.1323938379322812,2065.0000000001205,0.001,0.0046616603703853,10015.364442228854,20.889919102672607,6.0
1056,0.1346362539191318,2065.0000000000005,0.001,0.0086476455587906,10019.502622471711,20.95986373153391,6.0
1080,0.1333558113097388,2065.0000000000164,0.001,0.0012605440119224,10017.153310304078,20.919967069171275,6.0
1100,0.1343192623211571,2065.000000000344,0.0010000000000053,0.0055502854679962,10018.924381391496,20.949997229832743,6.0
3047,0.13111490950321,2065.0000094469583,0.0010000000115599,0.0010036861367463,10012.954163701115,20.849872847789776,6.0
3057,0.1320748794636939,2065.0000002075285,0.001000000002692,0.0031783894799122,10014.76676065744,20.87994207140209,6.0
3060,0.1314327730360166,2065.00010469929,0.0010000001602143,0.0075591002966443,10013.55639990674,20.859852622863915,6.0
3121,0.1336773424655875,2065.000000016346,0.001000000001828,0.0029651071793563,10017.746644348255,20.929996091792685,6.0
3136,0.1330348281266877,2065.000000000772,0.0010000000024552,0.0058794618666353,10016.558699093986,20.909948030569417,6.0
3153,0.1346401180263269,2065.0000000131718,0.0010000000002379,0.0014037332510332,10019.50965732808,20.95998396331682,6.0
3160,0.1333521839682441,2065.000000014406,0.0010000000013442,0.0078519748574857,10017.14660219742,20.919853888903862,6.0
3208,0.132394859252441,2065.0000000019063,0.0010000000000088,0.0019862630844732,10015.366352366786,20.88995103865726,6.0
3286,0.1343160892902052,2065.0000000830487,0.0010000000002392,0.0036395348982978,10018.918581826742,20.949898446768305,6.0
3326,0.1307997318832493,2065.0000000008845,0.0010000000001134,0.0028496736490283,10012.354559722577,20.8399844150766,6.0
3377,0.1327154456703911,2065.000000000001,0.0010000000000023,0.0014646181736556,10015.964787760471,20.899971889569603,6.0
3411,0.1339978960825539,2065.000000000002,0.0010000000000003,0.0026077503217561,10018.335903964844,20.93998753646236,6.0
3427,0.1317504169368008,2065.000000000012,0.0010000000000003,0.0125337601339251,10014.156437435557,20.86978554501787,6.0
467,0.239096722482818,2065.000009478614,0.0010000000062461,0.0042852103298684,10126.421945056269,22.669606377821665,5.0
510,0.2373731579509458,2065.0000021987285,0.0010000000003297,0.0033971799225087,10126.222691738938,22.629707066756023,5.0
516,0.2360602137429667,2065.0000034511218,0.0010000000003216,0.0021428460440463,10126.045217153418,22.599241736500485,5.0
553,0.2394520032556226,2065.0000000743125,0.0010000000013193,0.0014949825376645,10126.45829296157,22.67781554239584,5.0
