,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Distance to damage threshold 2105,Population above damage threshold 2105,Temperature overshoot 2105
2,0.2467225020858666,2065.000000004855,0.0010000000054798,0.0148038939900757,10007.560391305668,48.00508310407954,0.0,0.0,1.0232896852744864,4536.524725402596,7.0
72,0.247654743958521,2065.0000001052967,0.0010000000104097,0.0078944840124265,10007.57502618244,48.02546900276064,0.0,0.0,1.0253838603401126,4536.524725402596,7.0
177,0.2472729868754024,2065.0000000000623,0.0010000000000052,0.0068910759759618,10007.570380696268,48.01712600349664,0.0,0.0,1.0245262015394518,4536.524725402596,7.0
1279,0.1004280203989896,2065.000000617053,0.0010000000018879,0.0083807063635801,9860.502371725885,14.969981697435903,0.0681328409421743,372.6198936204345,0.3719628276778058,1863.0994681021723,6.0
1310,0.1012802333597466,2065.0000029507614,0.0010000000061783,0.0071605790240451,9862.823055201048,14.994432843492593,0.0686998072494933,372.6198936204345,0.3733274941409465,1863.0994681021723,6.0
1367,0.1007762822777917,2065.000001302635,0.0010000000082479,0.0053105292181137,9861.453287997929,14.9799802841307,0.0683648103831165,372.6198936204345,0.3725203562536439,1863.0994681021723,6.0
1523,0.100228568743279,2065.0000008253146,0.0010000000035293,0.0038618466793836,9859.95617242817,14.964251494660278,0.0679998200940867,372.6198936204345,0.3716436297956784,1863.0994681021723,6.0
1584,0.1009731020086881,2065.0000000011705,0.0010000001050188,0.0029857251844533,9861.98904097171,14.985626613725824,0.0684957304626321,372.6198936204345,0.3728354988747491,1863.0994681021723,6.0
1659,0.1011288372110982,2065.0000001525523,0.001000000067531,0.0118132542635114,9862.412271259174,14.990092525052056,0.0685992411734771,372.6198936204345,0.3730849263225031,1863.0994681021723,6.0
1844,0.1011244987178303,2065.000002713131,0.0010000000000538,0.004545781807695,9862.400555359434,14.989968682481,0.0685963703720137,372.6198936204345,0.373078026880366,1863.0994681021723,6.0
1981,0.1003775376148845,2065.0000004588896,0.0010000000015712,0.0092523409761568,9860.364235458026,14.968531574433811,0.0680991833138666,372.6198936204345,0.3718820258774656,1863.0994681021723,6.0
2121,0.1008290153510166,2065.000000257715,0.0010000000055788,0.0013133883150416,9861.59696965673,14.981493216379116,0.068399896010136,372.6198936204345,0.3726047713114259,1863.0994681021723,6.0
2235,0.1005285810727258,2065.0000000149093,0.0010000000000656,0.0015878367824719,9860.777317418111,14.972869550801304,0.0681998579246797,372.6198936204345,0.3721237780448982,1863.0994681021723,6.0
2268,0.1006775653564225,2065.000000001326,0.0010000000024651,0.0067167565387198,9861.184109983751,14.97714680873459,0.0682990911375364,372.6198936204345,0.3723622796149262,1863.0994681021723,6.0
2409,0.1000787881596746,2065.000000000158,0.0010000000000104,0.0075490913841562,9859.545236475007,14.95994616597733,0.0678998386337136,372.6198936204345,0.3714039487033681,1863.0994681021723,6.0
2570,0.2467326795987181,2065.000000025783,0.0010000000000018,0.0019287544514513,10007.560616408256,48.00530589758439,0.0,0.0,1.0233125448135578,4536.524725402596,7.0
2688,0.247278927349617,2065.0000000000086,0.0010000000000006,0.0031273182790092,10007.570467370562,48.017255881833336,0.0,0.0,1.0245395465252134,4536.524725402596,7.0
2768,0.2476537677219168,2065.0000000031,0.0010000000000003,0.0065221236501429,10007.575027206643,48.02544764520336,0.0,0.0,1.025381663762712,4536.524725402596,7.0
3796,0.1006770418757139,2065.0001312601585,0.0010000000136095,0.0040703405040066,9861.182539873058,14.97715964266941,0.068299345291412,372.6198936204345,0.3723639816405104,1863.0994681021723,6.0
3964,0.100078787083683,2065.000000008441,0.0010000000040469,0.0043275422195802,9859.5452295364,14.959946136799593,0.06789983795324,372.6198936204345,0.3714039471418764,1863.0994681021723,6.0
4017,0.1003782425562472,2065.000000047948,0.0010000000000269,0.0043005356224253,9860.366166843492,14.96855173762974,0.0680996514683698,372.6198936204345,0.3718831461748035,1863.0994681021723,6.0
4170,0.1005261189454995,2065.000003282741,0.0010000000001878,0.0033060857497014,9860.770585860722,14.972799543842276,0.068198232398115,372.6198936204345,0.3721199000676713,1863.0994681021723,6.0
4217,0.1011250785446889,2065.000000072873,0.0010000000032293,0.0024745385551557,9862.40212923656,14.989984745445703,0.0685967434905706,372.6198936204345,0.3730789044498608,1863.0994681021723,6.0
4366,0.1008287649623903,2065.000000000025,0.0010000000000326,0.0013705679404142,9861.596293353725,14.98148597735292,0.0683997282300177,372.6198936204345,0.3726043653940257,1863.0994681021723,6.0
4410,0.1011297372653907,2065.000000086376,0.0010000000000058,0.0046344653658658,9862.414781603116,14.990118315800116,0.0685998388730023,372.6198936204345,0.3730863666784165,1863.0994681021723,6.0
4415,0.1012797043224358,2065.000000012721,0.0010000000017807,0.0015363971991633,9862.821628388248,14.994417057219298,0.0686994424992138,372.6198936204345,0.3733265896994698,1863.0994681021723,6.0
4540,0.1004285566418118,2065.0000001961107,0.0010000000000347,0.0032783218960045,9860.503840899317,14.969997010395478,0.0681331964799818,372.6198936204345,0.3719636778269597,1863.0994681021723,6.0
4722,0.100228039672106,2065.000000000029,0.0010000000001523,0.0042325372709717,9859.954726167854,14.96423611551493,0.0679994632812103,372.6198936204345,0.3716427672053346,1863.0994681021723,6.0
4835,0.100776895840879,2065.000000001044,0.001000000000002,0.00188116361269,9861.454969617267,14.979997614931431,0.068365212742379,372.6198936204345,0.3725213134595367,1863.0994681021723,6.0
