,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Disutility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Distance to damage threshold 2105,Population above damage threshold 2105,Temperature overshoot 2105
0,89,0,10232.524485683663,5,1,0,1,1,0.0010623792513786716,2550.7463683683955,3.376750443620718,0.0,0.0,0.0,0.0,0.0
1,159,2,9327.838332978441,2,1,0,0,0,0.002766557567582168,2553.65424088783,3.4214590834033696,0.0,0.0,0.0,0.0,0.0
