,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Intratemporal consumption Gini 2105,Temperature overshoot 2105
1,0.13463087220802566,2170.2160777164218,0.005334467554234392,0.006449031080193274,10961.549190373065,0.283199953760916,7.0
2,0.12082574147018652,2170.024201356409,0.01180311469929295,0.014575530322418215,10931.96027050736,0.2825998734483996,7.0
3,0.15838163683802464,2165.023913284151,0.004353337226261013,0.005429519859318549,11001.66983076663,0.2840996519004403,7.0
4,0.11238612328350855,2171.026425235861,0.012381468024372047,0.004318412892392768,10911.38036559003,0.2821998248510594,7.0
5,0.10449344777067747,2173.6606428972627,0.003068903377790399,0.011526673553692534,10890.293386539513,0.2817998416674285,7.0
6,0.10260024359482832,2174.8847684293637,0.014524211067271033,0.01113006564770726,10884.956805421221,0.28169998000746077,7.0
7,0.11443037619441317,2173.1424316245293,0.011123868337631935,0.001490149444728959,10916.584061663252,0.2822999594528785,7.0
8,0.1322167290705397,2170.8939801157394,0.005519130560892628,0.002607091775740357,10956.73494468314,0.2830997222246121,7.0
9,0.1765290699063753,2168.510787917781,0.008821893863503015,0.0011444506166181784,11024.405487971948,0.28469973051791303,7.0
10,0.18308229467658957,2166.3846023081496,0.0045106677650555566,0.0031250282355592867,11031.012556454905,0.2848995170864113,7.0
11,0.2281333201383637,2166.3147974612916,0.0046683125762315815,0.0061071394872064715,11056.668227610488,0.28609977218220595,7.0
12,0.16716924788760587,2170.0083317407443,0.0025661779874586025,0.003137686200840315,11013.541649451257,0.28439977612754136,7.0
13,0.15274558161653545,2168.543414304654,0.010373798585192844,0.0031878118109468197,10993.333665613512,0.2838999014277697,7.0
14,0.17978458651094195,2166.6526795577465,0.002164913995898981,0.00757296439666425,11027.779132898873,0.28479966437274107,7.0
15,0.2323329323542962,2166.464540838337,0.00540032437334981,0.0069326213610379946,11057.4270976582,0.28619858185456243,7.0
16,0.12984817885395553,2172.173554920852,0.0010245891623317238,0.00721881645321713,10951.875807023263,0.2829998130141916,7.0
17,0.18644999300141946,2166.916351053126,0.005444134717447098,0.01428790172309854,11034.11995002372,0.2849998153985239,7.0
18,0.20425259096382756,2166.6306298943327,0.0054502418698356685,0.008487276442853827,11047.218142718539,0.28549883424650785,7.0
19,0.14467939804330415,2170.9732934874846,0.0036606980690017284,0.012065459924752822,10980.127821992422,0.28359979432390287,7.0
20,0.1899012581398783,2165.0529421036163,0.012352351553088265,0.013769202330945451,11037.063783983263,0.2850998041872443,7.0
21,0.21196922658919531,2164.1526577267746,0.012352351553088265,0.014869199831321744,11051.232840874993,0.28569996431022177,7.0
