,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Disutility 2105,Temperature overshoot 2105
0,463,2,9039.751113498602,3,0,1,0,0,0.08612447737948668,2487.5048383143794,49.33248195954536,7.0
1,947,2,4585.233747523151,3,1,1,0,0,0.4216024249764932,2495.150665459662,51.397353119590846,7.0
2,578,1,4354.847760352965,5,2,1,1,1,0.5357701441655444,2501.820416988042,52.293854502749774,7.0
