,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Disutility 2105,Distance to consumption threshold 2105,Population below consumption threshold 2105,Distance to damage threshold 2105,Population above damage threshold 2105,Temperature overshoot 2105
0,802,2,12798.213868463557,5,0,1,2,1,0.14980816152280063,2481.378683157367,50.04098220820892,1.2437139904293621,749.7645065432494,3.360785317732234,6914.12451279686,7.0
1,927,2,8846.15348936686,0,1,1,2,0,0.4572231457795429,2482.884171061987,58.39854677313462,1.4047233414909122,749.7645065432494,3.586227726960418,6914.12451279686,7.0
2,857,2,4258.432059834911,3,1,0,2,0,0.5998054935674937,2486.1097569483686,67.72492950596235,1.3732587567421326,749.7645065432494,3.5572964823567252,6914.12451279686,7.0
3,927,2,5853.1704052952255,5,0,1,2,1,0.5962743101930966,2482.87622760184,65.56551978962,1.1803314582988298,510.98771966139356,3.2713542093027157,6914.12451279686,7.0
4,257,2,5244.926674670627,5,0,1,1,0,0.5992762688807847,2477.074598094626,69.85501890786483,0.307707884045796,372.6198936204345,3.932100999565955,6914.12451279686,7.0
