,epsilon_progress,nfe
0,0,0
1,49,100
2,595,1179
3,894,2247
4,1181,3328
5,1428,4406
6,1637,5484
7,1848,6568
8,2020,7643
9,2185,8724
10,2323,9806
11,3704,15572
12,5345,23122
13,7395,30649
14,8770,38183
15,9870,45747
16,10800,53294
17,11602,60854
18,12392,68413
19,13121,75955
20,13797,83495
21,14425,91040
22,15034,98564
23,15588,106114
24,16117,113657
25,16626,121194
26,17116,128698
27,17593,136240
28,18057,143793
29,18495,151338
30,18903,158881
31,19314,166393
32,19696,173931
33,20062,181453
34,20392,188977
35,20705,196526
36,21012,204072
